,statistic,Location,Opp,mean,std,max,min,median,n_games,mean_all,std_all,max_all,min_all,median_all,n_games_all
134,3P%,Away,CLE,0.42433333333333334,0.1467599079729723,0.643,0.1,0.4645,18,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
135,3P%,Away,DAL,0.3844666666666667,0.16600940879818774,0.6,0.0,0.375,15,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
136,3P%,Away,DEN,0.5272222222222223,0.2506437724213286,1.0,0.091,0.4585,18,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
137,3P%,Away,DET,0.422875,0.23224336835065315,0.75,0.0,0.4,8,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
138,3P%,Away,HOU,0.3489166666666667,0.18378979407409188,0.778,0.0,0.33299999999999996,24,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
139,3P%,Away,IND,0.42614285714285716,0.255670640063493,0.75,0.0,0.4,7,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
140,3P%,Away,LAC,0.37584,0.24255165772813567,1.0,0.0,0.375,25,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
141,3P%,Away,LAL,0.3177333333333333,0.23449138475391698,0.8,0.0,0.33299999999999996,15,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
142,3P%,Away,MEM,0.40110526315789474,0.19078111213780577,0.8,0.1,0.33299999999999996,19,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
143,3P%,Away,MIA,0.4603333333333334,0.1408864791241516,0.727,0.28600000000000003,0.5,9,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
144,3P%,Away,MIL,0.39525000000000005,0.33638190455832445,1.0,0.0,0.333,8,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
145,3P%,Away,MIN,0.33573333333333333,0.2657599525529616,0.7140000000000001,0.0,0.222,15,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
146,3P%,Away,NJN,0.375,0.1767766952966369,0.5,0.25,0.375,2,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
147,3P%,Away,NOH,0.47000000000000003,0.17591048860144756,0.667,0.25,0.5,5,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
148,3P%,Away,NOP,0.4720714285714286,0.13771009922504387,0.75,0.222,0.4495,14,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
149,3P%,Away,NYK,0.5630000000000001,0.24291091841601992,1.0,0.273,0.5,8,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
150,3P%,Away,OKC,0.48100000000000004,0.19037244198325204,1.0,0.2,0.429,19,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
151,3P%,Away,ORL,0.46933333333333327,0.1737203212062423,0.75,0.2,0.5,9,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
152,3P%,Away,PHI,0.2911111111111111,0.13619879261987278,0.455,0.0,0.33299999999999996,9,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
153,3P%,Away,PHO,0.5027058823529411,0.1366623415145346,0.667,0.273,0.5379999999999999,17,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
154,3P%,Away,POR,0.4376315789473685,0.13163215181638896,0.667,0.2,0.43799999999999994,19,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
155,3P%,Away,SAC,0.41764705882352937,0.14504048623421953,0.625,0.2,0.375,17,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
156,3P%,Away,SAS,0.41118750000000004,0.18391237723437756,0.75,0.083,0.429,16,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
157,3P%,Away,TOR,0.4292727272727273,0.14253216542878377,0.75,0.28600000000000003,0.364,11,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
158,3P%,Away,UTA,0.41318750000000004,0.17256118480121768,0.615,0.0,0.4495,16,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
159,3P%,Away,WAS,0.42510000000000003,0.19139107723309476,0.733,0.2,0.4365,10,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395
160,3P%,Home,ATL,0.2364285714285714,0.16638795743969087,0.375,0.0,0.33299999999999996,7,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
161,3P%,Home,BOS,0.40922222222222226,0.24418475473387857,0.8,0.0,0.4,9,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
162,3P%,Home,BRK,0.49866666666666665,0.14317774501180924,0.75,0.313,0.5,6,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
163,3P%,Home,CHA,0.5145,0.2767869216563528,0.8,0.14300000000000002,0.5575,4,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
164,3P%,Home,CHI,0.3689,0.20037878020278382,0.667,0.0,0.3485,10,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
165,3P%,Home,CHO,0.5895,0.1123580586043268,0.733,0.5,0.5625,4,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
166,3P%,Home,CLE,0.42440000000000005,0.15854582601685993,0.75,0.133,0.396,20,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
167,3P%,Home,DAL,0.45139999999999997,0.13427306931345964,0.625,0.2,0.5,15,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
168,3P%,Home,DEN,0.4152105263157895,0.12029204229123591,0.5710000000000001,0.16699999999999998,0.4,19,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
169,3P%,Home,DET,0.4683333333333333,0.16958773540560063,0.7140000000000001,0.14300000000000002,0.5,9,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
170,3P%,Home,HOU,0.40273076923076917,0.15216295414911152,0.7140000000000001,0.0,0.40850000000000003,26,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
171,3P%,Home,IND,0.3824444444444445,0.1833092408412019,0.6,0.0,0.41700000000000004,9,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
172,3P%,Home,LAC,0.5330400000000001,0.25624231370586187,1.0,0.0,0.6,25,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
173,3P%,Home,LAL,0.3524000000000001,0.12383099081293944,0.583,0.16699999999999998,0.33299999999999996,15,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
174,3P%,Home,MEM,0.4862222222222223,0.13709187797435685,0.769,0.182,0.5,18,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
175,3P%,Home,MIA,0.5357142857142857,0.2599190350126454,1.0,0.222,0.5,7,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
176,3P%,Home,MIL,0.40349999999999997,0.2291986038351892,0.75,0.0,0.39749999999999996,8,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
177,3P%,Home,MIN,0.4508,0.12640931249601145,0.667,0.222,0.5,15,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
178,3P%,Home,NJN,0.4145,0.020506096654409837,0.429,0.4,0.4145,2,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
179,3P%,Home,NOH,0.4798,0.2922442471632248,1.0,0.33299999999999996,0.33299999999999996,5,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
180,3P%,Home,NOP,0.43453846153846154,0.16247800640118207,0.765,0.2,0.444,13,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
181,3P%,Home,NYK,0.4497777777777778,0.1683053607121426,0.615,0.2,0.5,9,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
182,3P%,Home,OKC,0.3958571428571429,0.13223815096797356,0.625,0.111,0.41700000000000004,21,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
183,3P%,Home,ORL,0.36528571428571427,0.18623167854916114,0.5379999999999999,0.0,0.4,7,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
184,3P%,Home,PHI,0.4122,0.18460456236085945,0.667,0.125,0.38,10,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
185,3P%,Home,PHO,0.39955555555555555,0.19122245198666096,0.75,0.0,0.4,18,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
186,3P%,Home,POR,0.4416190476190477,0.2086033260018824,0.75,0.0,0.455,21,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
187,3P%,Home,SAC,0.3815,0.1679611066090401,0.625,0.0,0.4145,16,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
188,3P%,Home,SAS,0.39521052631578946,0.18542970484417132,0.667,0.0,0.429,19,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
189,3P%,Home,TOR,0.42616666666666664,0.13817435187165347,0.667,0.222,0.429,12,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
190,3P%,Home,UTA,0.38594117647058823,0.1704935741414597,0.75,0.0,0.375,17,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
191,3P%,Home,WAS,0.5143333333333333,0.20182356155810946,0.75,0.231,0.6,9,0.4274444444444446,0.1801585248035905,1.0,0.0,0.429,405
192,3PA,Away,ATL,8.4,4.247875285886397,15.0,0.0,9.0,10,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
193,3PA,Away,BOS,8.333333333333334,3.5707142142714248,13.0,4.0,9.0,9,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
194,3PA,Away,BRK,11.142857142857142,2.2677868380553634,15.0,9.0,10.0,7,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
195,3PA,Away,CHA,9.0,4.83045891539648,16.0,5.0,7.5,4,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
196,3PA,Away,CHI,6.666666666666667,3.0,11.0,3.0,5.0,9,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
197,3PA,Away,CHO,11.75,1.707825127659933,14.0,10.0,11.5,4,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
198,3PA,Away,CLE,10.0,2.869720215917757,15.0,5.0,9.5,18,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
199,3PA,Away,DAL,8.0,4.690415759823429,19.0,2.0,8.0,15,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
200,3PA,Away,DEN,8.88888888888889,3.786801985983127,16.0,2.0,9.5,18,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
201,3PA,Away,DET,7.375,4.172614801981401,15.0,3.0,7.5,8,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
