,+/-,3P,3P%,3PA,AST,Away,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,G#,GS,GmSc,MP,ORB,Opp,PF,PTS,Result,STL,Season,Series,TOV,TRB,Tm
29,+25,3,.231,13,7,@,0,2,2016-12-22,6,.316,19,0,,0,30,1,1,10.6,32:58,0,BRK,5,15,W (+16),5,2016-2017,Regular Season,2,2,GSW
30,+6,5,.500,10,8,@,0,3,2016-12-23,7,.438,16,6,1.000,6,31,1,1,19.7,35:00,0,DET,1,25,W (+6),2,2016-2017,Regular Season,5,3,GSW
31,-1,2,.286,7,3,@,0,3,2016-12-25,4,.364,11,5,.833,6,32,1,1,9.9,37:20,0,CLE,4,15,L (-1),3,2016-2017,Regular Season,3,3,GSW
32,+27,3,.500,6,7,,0,6,2016-12-28,9,.500,18,7,1.000,7,33,1,1,23.2,36:19,1,TOR,3,28,W (+10),0,2016-2017,Regular Season,2,7,GSW
33,+14,3,.500,6,5,,0,4,2016-12-30,5,.417,12,1,1.000,1,34,1,1,11.5,30:08,0,DAL,2,14,W (+9),1,2016-2017,Regular Season,1,4,GSW
34,+7,3,.333,9,5,,0,3,2017-01-02,8,.444,18,3,1.000,3,35,1,1,13.2,35:03,0,DEN,2,22,W (+8),0,2016-2017,Regular Season,3,3,GSW
35,+6,5,.385,13,5,,0,6,2017-01-04,12,.480,25,6,.750,8,36,1,1,23.1,35:54,1,POR,1,35,W (+8),1,2016-2017,Regular Season,5,7,GSW
36,-10,5,.385,13,6,,1,3,2017-01-06,15,.556,27,5,1.000,5,37,1,1,29.1,42:13,0,MEM,2,40,L (-9),1,2016-2017,Regular Season,4,3,GSW
37,+14,5,.455,11,6,@,0,2,2017-01-08,11,.500,22,3,1.000,3,38,1,1,22.0,37:06,2,SAC,3,30,W (+11),2,2016-2017,Regular Season,4,4,GSW
38,+18,4,.364,11,9,,1,7,2017-01-10,8,.381,21,4,.800,5,39,1,1,19.9,35:43,1,MIA,0,24,W (+12),1,2016-2017,Regular Season,3,8,GSW
39,+32,3,.333,9,7,,0,2,2017-01-12,9,.529,17,3,1.000,3,40,1,1,18.2,29:51,0,DET,0,24,W (+20),5,2016-2017,Regular Season,8,2,GSW
40,+23,5,.417,12,11,,0,2,2017-01-16,7,.350,20,1,.500,2,41,1,1,16.9,30:55,0,CLE,2,20,W (+35),4,2016-2017,Regular Season,3,2,GSW
41,+19,2,.333,6,8,,0,4,2017-01-18,9,.474,19,4,1.000,4,42,1,1,21.1,34:11,0,OKC,0,24,W (+21),3,2016-2017,Regular Season,3,4,GSW
42,+15,5,.455,11,7,@,0,1,2017-01-20,8,.444,18,3,.600,5,43,1,1,18.6,32:57,0,HOU,1,24,W (+17),1,2016-2017,Regular Season,1,1,GSW
43,+32,7,.538,13,6,@,0,3,2017-01-22,8,.533,15,4,1.000,4,44,1,1,21.7,29:33,1,ORL,2,27,W (+20),0,2016-2017,Regular Season,3,4,GSW
44,+1,3,.333,9,8,@,1,9,2017-01-23,7,.368,19,4,.800,5,45,1,1,14.3,36:31,0,MIA,2,21,L (-3),0,2016-2017,Regular Season,4,9,GSW
45,0,6,.500,12,7,@,1,2,2017-01-25,11,.478,23,0,,0,46,1,1,18.7,36:16,0,CHO,2,28,W (+10),1,2016-2017,Regular Season,4,2,GSW
46,+42,9,.600,15,6,,0,9,2017-01-28,15,.652,23,4,1.000,4,47,1,1,37.4,28:57,0,LAC,1,43,W (+46),0,2016-2017,Regular Season,2,9,GSW
47,+25,11,.733,15,8,,0,4,2017-02-01,14,.700,20,0,,0,48,1,1,39.3,30:16,1,CHO,2,39,W (+15),3,2016-2017,Regular Season,1,5,GSW
48,+13,3,.300,10,11,@,0,2,2017-02-02,11,.478,23,4,1.000,4,49,1,1,24.9,37:26,1,LAC,1,29,W (+13),3,2016-2017,Regular Season,4,3,GSW
49,+4,8,.571,14,9,@,0,4,2017-02-04,11,.550,20,5,.833,6,50,1,1,31.7,41:45,0,SAC,2,35,L (-3),3,2016-2017,Regular Season,3,4,GSW
50,+20,1,.250,4,6,,0,1,2017-02-08,5,.455,11,2,1.000,2,51,1,1,9.2,28:12,0,CHI,4,13,W (+31),1,2016-2017,Regular Season,2,1,GSW
51,+15,2,.333,6,5,@,0,4,2017-02-10,6,.462,13,4,.800,5,52,1,1,11.4,34:51,0,MEM,3,18,W (+15),0,2016-2017,Regular Season,3,4,GSW
52,+16,4,.364,11,9,@,0,5,2017-02-11,9,.474,19,4,1.000,4,53,1,1,27.4,33:54,3,OKC,2,26,W (+16),2,2016-2017,Regular Season,0,8,GSW
53,-24,1,.091,11,5,@,0,1,2017-02-13,4,.222,18,2,1.000,2,54,1,1,4.1,26:42,1,DEN,1,11,L (-22),1,2016-2017,Regular Season,1,2,GSW
54,+23,2,.250,8,9,,2,6,2017-02-15,4,.286,14,3,.750,4,55,1,1,10.1,30:03,0,SAC,2,13,W (+23),0,2016-2017,Regular Season,3,6,GSW
55,+26,6,.600,10,5,,0,6,2017-02-23,10,.625,16,9,.900,10,56,1,1,31.4,32:11,1,LAC,5,35,W (+10),4,2016-2017,Regular Season,4,7,GSW
56,+17,5,.500,10,5,,0,4,2017-02-25,9,.429,21,4,1.000,4,57,1,1,19.5,34:55,1,BRK,2,27,W (+17),3,2016-2017,Regular Season,4,5,GSW
57,+8,0,.000,11,6,@,0,2,2017-02-27,7,.304,23,5,1.000,5,58,1,1,9.1,34:48,2,PHI,2,19,W (+11),2,2016-2017,Regular Season,4,4,GSW
58,-5,2,.222,9,4,@,0,3,2017-02-28,9,.450,20,5,.833,6,59,1,1,16.5,34:14,4,WAS,3,25,L (-4),2,2016-2017,Regular Season,5,7,GSW
59,-4,2,.182,11,5,@,0,5,2017-03-02,10,.370,27,1,1.000,1,60,1,1,13.2,35:28,1,CHI,4,23,L (-7),5,2016-2017,Regular Season,4,6,GSW
60,+22,5,.385,13,6,@,0,6,2017-03-05,11,.458,24,4,.667,6,61,1,1,24.4,36:51,2,NYK,2,31,W (+7),2,2016-2017,Regular Season,2,8,GSW
61,+5,6,.400,15,9,@,0,3,2017-03-06,8,.400,20,2,.667,3,62,1,1,17.1,34:31,1,ATL,4,24,W (+8),0,2016-2017,Regular Season,2,4,GSW
62,-3,2,.222,9,6,,1,2,2017-03-08,8,.500,16,5,1.000,5,63,1,1,17.0,35:08,3,BOS,4,23,L (-13),0,2016-2017,Regular Season,4,5,GSW
63,-5,1,.125,8,7,@,0,3,2017-03-10,10,.370,27,5,1.000,5,64,1,1,12.4,35:18,3,MIN,4,26,L (-1),1,2016-2017,Regular Season,6,6,GSW
64,+3,5,.385,13,5,,0,4,2017-03-14,8,.348,23,8,1.000,8,65,1,1,19.0,37:25,2,PHI,3,29,W (+2),3,2016-2017,Regular Season,5,6,GSW
65,+24,2,.286,7,9,,0,1,2017-03-16,8,.533,15,7,1.000,7,66,1,1,24.9,28:07,0,ORL,1,25,W (+30),3,2016-2017,Regular Season,2,1,GSW
66,+18,6,.750,8,4,,1,4,2017-03-18,9,.692,13,4,1.000,4,67,1,1,24.0,30:17,0,MIL,3,28,W (+25),1,2016-2017,Regular Season,3,4,GSW
67,+16,7,.583,12,6,@,0,4,2017-03-20,8,.471,17,0,,0,68,1,1,13.5,29:53,0,OKC,3,23,W (+16),0,2016-2017,Regular Season,5,4,GSW
68,+14,3,.333,9,9,@,0,4,2017-03-21,7,.500,14,0,,0,69,1,1,19.8,29:45,1,DAL,1,17,W (+25),2,2016-2017,Regular Season,0,5,GSW
69,+28,5,.455,11,12,,0,6,2017-03-24,9,.500,18,4,1.000,4,70,1,1,31.9,33:14,1,SAC,0,27,W (+14),6,2016-2017,Regular Season,3,7,GSW
70,+8,5,.417,12,11,,0,1,2017-03-26,8,.444,18,0,,0,71,1,1,18.2,36:19,0,MEM,1,21,W (+12),4,2016-2017,Regular Season,5,1,GSW
71,+9,3,.273,11,7,@,0,8,2017-03-28,11,.500,22,7,.700,10,72,1,1,22.5,33:25,2,HOU,5,32,W (+7),2,2016-2017,Regular Season,6,10,GSW
72,+6,4,.500,8,11,@,0,3,2017-03-29,9,.450,20,7,1.000,7,73,1,1,24.9,35:08,1,SAS,5,29,W (+12),1,2016-2017,Regular Season,2,4,GSW
73,+14,4,.444,9,5,,0,4,2017-03-31,8,.444,18,4,.800,5,74,1,1,19.4,34:46,3,HOU,4,24,W (+9),2,2016-2017,Regular Season,2,7,GSW
74,+26,9,.643,14,8,,0,1,2017-04-02,15,.682,22,3,1.000,3,75,1,1,37.3,35:33,0,WAS,3,42,W (+24),1,2016-2017,Regular Season,1,1,GSW
75,+13,3,.375,8,9,,2,3,2017-04-04,7,.389,18,2,.500,4,76,1,1,16.2,29:53,0,MIN,2,19,W (+14),3,2016-2017,Regular Season,3,3,GSW
76,+25,8,.667,12,11,@,2,4,2017-04-05,15,.600,25,4,.571,7,77,1,1,38.6,35:11,0,PHO,0,42,W (+9),2,2016-2017,Regular Season,3,4,GSW
77,+9,6,.750,8,4,,0,3,2017-04-10,9,.563,16,4,.800,5,78,1,1,24.0,29:57,1,UTA,1,28,L (-6),1,2016-2017,Regular Season,1,4,GSW
78,+27,5,.357,14,8,,0,5,2017-04-12,6,.353,17,3,.750,4,79,1,1,12.8,28:27,0,LAL,1,20,W (+15),2,2016-2017,Regular Season,6,5,GSW
