,+/-,3P,3P%,3PA,AST,Away,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,G#,GS,GmSc,MP,ORB,Opp,PF,PTS,Result,STL,Season,Series,TOV,TRB,Tm
70,+20,6,.545,11,10,,0,5,2017-06-01,11,.500,22,0,,0,13,1,1,26.0,34:29,1,CLE,3,28,W (+22),3,Playoff,FIN,2,6,GSW
71,+21,4,.364,11,11,,0,8,2017-06-04,7,.412,17,14,1.000,14,14,2,1,26.2,36:15,2,CLE,3,32,W (+19),1,Playoff,FIN,8,10,GSW
72,+11,5,.556,9,6,@,0,8,2017-06-07,8,.421,19,5,1.000,5,15,3,1,25.8,39:22,5,CLE,3,26,W (+5),2,Playoff,FIN,1,13,GSW
73,-26,2,.222,9,10,@,0,4,2017-06-09,4,.308,13,4,.800,5,16,4,1,12.2,37:45,1,CLE,2,14,L (-21),2,Playoff,FIN,4,5,GSW
74,+3,2,.222,9,10,,0,4,2017-06-12,10,.500,20,12,.800,15,17,5,1,30.2,40:48,2,CLE,3,34,W (+9),3,Playoff,FIN,4,6,GSW
75,+26,5,.500,10,2,,0,7,2018-05-01,8,.533,15,7,1.000,7,1,2,0,20.4,27:14,0,NOP,2,28,W (+5),3,Playoff,WCS,6,7,GSW
76,-12,3,.333,9,2,@,2,4,2018-05-04,6,.316,19,4,1.000,4,2,3,1,14.1,28:33,2,NOP,1,19,L (-19),4,Playoff,WCS,3,6,GSW
77,+21,4,.444,9,2,@,0,1,2018-05-06,8,.471,17,3,1.000,3,3,4,1,13.6,31:53,0,NOP,1,23,W (+26),0,Playoff,WCS,2,1,GSW
78,+9,3,.500,6,8,,0,7,2018-05-08,10,.625,16,5,1.000,5,4,5,1,24.7,37:02,0,NOP,2,28,W (+9),1,Playoff,WCS,4,7,GSW
79,+5,1,.200,5,8,@,1,5,2018-05-14,8,.533,15,1,.500,2,5,1,1,17.8,35:10,1,HOU,5,18,W (+13),2,Playoff,WCF,1,6,GSW
80,-20,1,.125,8,7,@,0,7,2018-05-16,7,.368,19,1,1.000,1,6,2,1,9.3,34:06,0,HOU,3,16,L (-22),0,Playoff,WCF,2,7,GSW
81,+24,5,.417,12,1,,1,4,2018-05-20,13,.565,23,4,1.000,4,7,3,1,26.3,34:21,2,HOU,2,35,W (+41),0,Playoff,WCF,1,6,GSW
82,+10,6,.462,13,2,,0,6,2018-05-22,10,.385,26,2,1.000,2,8,4,1,14.8,38:33,0,HOU,3,28,L (-3),2,Playoff,WCF,3,6,GSW
83,-9,2,.250,8,6,@,0,6,2018-05-24,8,.471,17,4,.800,5,9,5,1,19.8,41:23,1,HOU,2,22,L (-4),4,Playoff,WCF,3,7,GSW
84,+33,5,.357,14,6,,3,5,2018-05-26,12,.522,23,0,,0,10,6,1,22.7,39:56,0,HOU,2,29,W (+29),0,Playoff,WCF,2,5,GSW
85,+13,7,.467,15,10,@,1,9,2018-05-28,10,.455,22,0,,0,11,7,1,23.4,44:23,0,HOU,4,27,W (+9),4,Playoff,WCF,5,9,GSW
86,+10,5,.455,11,9,,0,6,2018-05-31,11,.478,23,2,1.000,2,12,1,1,24.0,46:26,0,CLE,1,29,W (+10),1,Playoff,FIN,2,6,GSW
87,+19,9,.529,17,8,,0,6,2018-06-03,11,.423,26,2,1.000,2,13,2,1,22.1,37:53,1,CLE,3,33,W (+19),1,Playoff,FIN,5,7,GSW
88,0,1,.100,10,6,@,0,5,2018-06-06,3,.188,16,4,1.000,4,14,3,1,4.5,39:15,0,CLE,3,11,W (+8),1,Playoff,FIN,2,5,GSW
89,+18,7,.467,15,4,@,3,4,2018-06-08,12,.444,27,6,1.000,6,15,4,1,29.8,38:44,2,CLE,4,37,W (+23),3,Playoff,FIN,2,6,GSW
90,+26,8,.667,12,7,,1,12,2019-04-13,11,.688,16,8,.889,9,1,1,1,36.5,36:42,3,LAC,4,38,W (+17),0,Playoff,WC1,4,15,GSW
91,+5,5,.455,11,6,,0,1,2019-04-15,8,.444,18,8,1.000,8,2,2,1,21.5,33:53,0,LAC,4,29,L (-4),3,Playoff,WC1,4,1,GSW
92,+19,4,.667,6,1,@,0,5,2019-04-18,7,.636,11,3,1.000,3,3,3,1,14.3,20:00,0,LAC,5,21,W (+27),0,Playoff,WC1,2,5,GSW
93,-2,1,.111,9,7,@,0,10,2019-04-21,3,.214,14,5,1.000,5,4,4,1,9.7,34:44,0,LAC,4,12,W (+8),3,Playoff,WC1,3,10,GSW
94,-3,4,.800,5,4,,1,3,2019-04-24,7,.467,15,6,1.000,6,5,5,1,16.9,38:05,0,LAC,2,24,L (-8),0,Playoff,WC1,3,3,GSW
95,+20,2,.400,5,6,@,0,6,2019-04-26,8,.571,14,6,1.000,6,6,6,1,22.6,37:30,0,LAC,2,24,W (+19),1,Playoff,WC1,1,6,GSW
96,+4,3,.300,10,4,,0,7,2019-04-28,5,.417,12,5,1.000,5,7,1,1,12.5,37:03,0,HOU,5,18,W (+4),1,Playoff,WCS,3,7,GSW
97,+9,3,.231,13,5,,1,2,2019-04-30,6,.375,16,5,1.000,5,8,2,1,13.7,33:08,1,HOU,5,20,W (+6),2,Playoff,WCS,3,3,GSW
98,-1,2,.222,9,4,@,0,3,2019-05-04,7,.304,23,1,.333,3,9,3,1,3.6,44:30,0,HOU,5,17,L (-5),2,Playoff,WCS,3,3,GSW
99,+4,4,.286,14,8,@,0,4,2019-05-06,12,.480,25,2,1.000,2,10,4,1,20.9,43:10,0,HOU,3,30,L (-4),1,Playoff,WCS,3,4,GSW
100,+9,3,.273,11,5,,0,4,2019-05-08,9,.391,23,4,.800,5,11,5,1,14.4,43:39,2,HOU,2,25,W (+5),0,Playoff,WCS,3,6,GSW
101,+8,4,.364,11,4,@,0,5,2019-05-10,9,.450,20,11,1.000,11,12,6,1,22.3,34:12,0,HOU,4,33,W (+5),0,Playoff,WCS,3,5,GSW
102,+10,9,.600,15,7,,0,5,2019-05-14,12,.522,23,3,1.000,3,13,1,1,30.6,35:29,1,POR,3,36,W (+22),1,Playoff,WCF,1,6,GSW
103,+10,4,.286,14,8,,0,8,2019-05-16,11,.500,22,11,1.000,11,14,2,1,27.2,38:34,0,POR,2,37,W (+3),0,Playoff,WCF,6,8,GSW
104,+19,6,.375,16,3,@,0,6,2019-05-18,11,.423,26,8,.889,9,15,3,1,19.5,37:17,0,POR,3,36,W (+11),0,Playoff,WCF,5,6,GSW
105,+3,7,.438,16,11,@,0,9,2019-05-20,11,.440,25,8,.889,9,16,4,1,35.7,47:24,4,POR,0,37,W (+2),1,Playoff,WCF,2,13,GSW
106,-9,4,.444,9,5,@,0,4,2019-05-30,8,.444,18,14,1.000,14,17,1,1,26.4,40:16,1,TOR,4,34,L (-9),1,Playoff,FIN,3,5,GSW
107,+12,3,.300,10,4,@,0,3,2019-06-02,6,.353,17,8,.889,9,18,2,1,17.6,40:40,0,TOR,3,23,W (+5),3,Playoff,FIN,1,3,GSW
108,-8,6,.429,14,7,,0,6,2019-06-05,14,.452,31,13,.929,14,19,3,1,37.2,43:15,2,TOR,1,47,L (-14),2,Playoff,FIN,3,8,GSW
109,-11,2,.222,9,6,,0,4,2019-06-07,9,.409,22,7,.875,8,20,4,1,16.6,42:59,0,TOR,4,27,L (-13),1,Playoff,FIN,3,4,GSW
110,-2,5,.357,14,7,@,0,6,2019-06-10,10,.435,23,6,1.000,6,21,5,1,23.0,41:11,2,TOR,0,31,W (+1),0,Playoff,FIN,4,8,GSW
111,-1,3,.273,11,7,,1,2,2019-06-13,6,.353,17,6,1.000,6,22,6,1,16.2,41:53,1,TOR,3,21,L (-4),2,Playoff,FIN,3,3,GSW
